Aika,Hinta [c/kWh]
"00.00","3,858"
"00.15","3,263"
"00.30","2,999"
"00.45","2,687"
"01.00","1,788"
"01.15","1,781"
"01.30","1,778"
"01.45","1,776"
"02.00","1,772"
"02.15","1,817"
"02.30","1,817"
"02.45","1,849"
"03.00","1,813"
"03.15","1,854"
"03.30","1,883"
"03.45","1,889"
"04.00","1,895"
"04.15","1,919"
"04.30","2,347"
"04.45","3,136"
"05.00","1,975"
"05.15","2,614"
"05.30","3,755"
"05.45","4,489"
"06.00","6,096"
"06.15","10,255"
"06.30","17,537"
"06.45","26,342"
"07.00","12,392"
"07.15","19,676"
"07.30","26,428"
"07.45","36,734"
"08.00","26,427"
"08.15","31,408"
"08.30","37,64"
"08.45","38,096"
"09.00","35,114"
"09.15","31,408"
"09.30","31,369"
"09.45","24,971"
"10.00","27,089"
"10.15","24,442"
"10.30","17,48"
"10.45","14,519"
"11.00","21,21"
"11.15","19,673"
"11.30","16,512"
"11.45","13,89"
"12.00","22,119"
"12.15","19,672"
"12.30","19,672"
"12.45","14,859"
"13.00","25,554"
"13.15","21,591"
"13.30","19,581"
"13.45","14,604"
"14.00","21,329"
"14.15","20,942"
"14.30","20,942"
"14.45","20,942"
"15.00","17,831"
"15.15","19,647"
"15.30","20,083"
"15.45","23,809"
"16.00","12,527"
"16.15","18,806"
"16.30","21,208"
"16.45","23,807"
"17.00","17,214"
"17.15","19,647"
"17.30","20,719"
"17.45","23,773"
"18.00","19,647"
"18.15","19,648"
"18.30","22,431"
"18.45","20,957"
"19.00","18,44"
"19.15","19,647"
"19.30","23,536"
"19.45","22,525"
"20.00","22,195"
"20.15","21,478"
"20.30","19,217"
"20.45","17,871"
"21.00","18,263"
"21.15","11,526"
"21.30","10,662"
"21.45","9,784"
"22.00","12,549"
"22.15","12,55"
"22.30","12,04"
"22.45","10,802"
"23.00","13,376"
"23.15","12,886"
"23.30","11,257"
"23.45","10,401"
Keskiarvo,"15,60"